dataset,alpha,RR@10,nDCG@10,AP@100
FiQA,0.0,0.3694609788359788,0.3054730827028217,0.2523481411140876
FiQA,0.01,0.3707102439741327,0.3064970062372766,0.25310939283478423
FiQA,0.02,0.3716814863805603,0.30698407936276284,0.2535245104473649
FiQA,0.03,0.3737274642367233,0.3081654616321953,0.2550664479000061
FiQA,0.04,0.375404174015285,0.3088528110338429,0.25611277493307094
FiQA,0.05,0.37668405839702124,0.31013646664409233,0.2575491374114217
FiQA,0.06,0.37779247501469715,0.310934542662468,0.258378673495659
FiQA,0.07,0.38028671859690377,0.3117942912355678,0.2597358475496966
FiQA,0.08,0.38264440035273367,0.3138235786748371,0.26065602903991
FiQA,0.09,0.38034918185381145,0.31326422250989067,0.2602915295944697
FiQA,0.1,0.37978762492651374,0.31244143119025625,0.2592199812675586
FiQA,0.11,0.3793332353517538,0.312694749435126,0.25938028700988436
FiQA,0.12,0.38063455320399747,0.3135402469806676,0.25976093294899705
FiQA,0.13,0.380919312169312,0.31340885792100376,0.2594322102394463
FiQA,0.14,0.38163396531452076,0.3144081770338678,0.25993420932545025
FiQA,0.15,0.38123591514795213,0.3141385488918421,0.25982209567397757
FiQA,0.16,0.3811367087987459,0.3138551809637736,0.25989839166569306
FiQA,0.17,0.3804655349794239,0.31353622302107864,0.25970558986707043
FiQA,0.18,0.3804918675289046,0.31383425366429857,0.2599025807972876
FiQA,0.19,0.3811195620223398,0.31450770656030536,0.26060520272873133
FiQA,0.2,0.37989356750930825,0.3137540962302837,0.2603430281261909
FiQA,0.21,0.3793981481481481,0.31317210877212054,0.2603824534005779
FiQA,0.22,0.3796620860278267,0.3131907654541518,0.26000197432278777
FiQA,0.23,0.37912808641975304,0.3136140146480823,0.25982949303189173
FiQA,0.24,0.3814104448363707,0.31510846806546644,0.2615494425826873
FiQA,0.25,0.3811605918087399,0.3148504392535172,0.2613498697557541
FiQA,0.26,0.37969760435038213,0.3135463416989321,0.2605253931328719
FiQA,0.27,0.37882679306290423,0.3130958044757797,0.25964746858870374
FiQA,0.28,0.37917156574563987,0.31373319166700914,0.25993999584889854
FiQA,0.29,0.37883720360572215,0.3140237245070684,0.2599213004621181
FiQA,0.3,0.37655606995884777,0.3136971644492872,0.25881248315921207
FiQA,0.31,0.37698657652361367,0.3124716032202719,0.25866133158912513
FiQA,0.32,0.3786626739173036,0.31240903056113556,0.25890340093890674
FiQA,0.33,0.3786779835390947,0.31296036347078476,0.2586689688555347
FiQA,0.34,0.37877045365471296,0.31281760540033,0.25857048436416286
FiQA,0.35,0.3797116892024299,0.31343535061372846,0.25843090449759065
FiQA,0.36,0.37787086027826766,0.31205696028751384,0.2572247654668326
FiQA,0.37,0.37822910542817956,0.31262162019520306,0.25715173623402676
FiQA,0.38,0.37743790417401535,0.31178425242648394,0.2566510046042535
FiQA,0.39,0.3744929453262788,0.30932220391092097,0.2549356974334811
FiQA,0.4,0.3743674064275917,0.30922427573050054,0.2548264982663144
FiQA,0.41,0.37448192239858913,0.3092117406707353,0.2551815164489181
FiQA,0.42,0.37343841857730753,0.3085700966261438,0.25432661628309255
FiQA,0.43,0.37309425827944354,0.30803739332349156,0.25468986230752505
FiQA,0.44,0.3735186409954929,0.3078991321142655,0.254800270249023
FiQA,0.45,0.3730936458945719,0.30792241938156895,0.25450387277548037
FiQA,0.46,0.37202197236919465,0.30785306993414885,0.253649705686738
FiQA,0.47,0.37000171467764054,0.30728357362783776,0.2523184688005273
FiQA,0.48,0.36958345581030766,0.30682951640183537,0.25117537296615244
FiQA,0.49,0.36926868998628254,0.3053177312546428,0.2505292425289926
FiQA,0.5,0.36883818342151675,0.30447971764476656,0.2500949429625024
FiQA,0.51,0.365523344111307,0.3019818474447704,0.24801238752784785
FiQA,0.52,0.3646359984322946,0.30172898778331936,0.24743813627515887
FiQA,0.53,0.3643640995492846,0.30151694843227383,0.2468862504083051
FiQA,0.54,0.36498750734861835,0.301114976343863,0.24635833074294766
FiQA,0.55,0.36211909660983727,0.2987406985284351,0.24496128009543022
FiQA,0.56,0.36140750538898675,0.2985037120234329,0.24465420492280648
FiQA,0.57,0.3616291887125219,0.2981894047622267,0.24457317932355077
FiQA,0.58,0.3613248334313148,0.29770820493186456,0.24401288826346632
FiQA,0.59,0.3611619390554575,0.29729723035275885,0.2435430168602034
FiQA,0.6,0.358986135606506,0.2958909460316536,0.24178723058751564
FiQA,0.61,0.3572341024887321,0.29412231477792694,0.24068378133468318
FiQA,0.62,0.3580853174603174,0.29417349048055547,0.24059389023303368
FiQA,0.63,0.3569946600039193,0.29342075734416956,0.23945214975326262
FiQA,0.64,0.3551507691553988,0.2923298775395458,0.2388263935968833
FiQA,0.65,0.35535959239662934,0.29235647683780763,0.23902650948165788
FiQA,0.66,0.3535469331765627,0.29085317511320014,0.23783332791318076
FiQA,0.67,0.3519865765236134,0.28885154383610323,0.23659600567938638
FiQA,0.68,0.34817203115814216,0.28674602745528244,0.23509527046475837
FiQA,0.69,0.34688602292768955,0.2860581918667121,0.23468028726291307
FiQA,0.7,0.3463887664119145,0.2847758648574059,0.23442311955884929
FiQA,0.71,0.3465859543405839,0.2846952896087011,0.2340609173714764
FiQA,0.72,0.3446869488536155,0.28317732842328686,0.2331129133250374
FiQA,0.73,0.34313455320399766,0.2810379748279182,0.2313302619661707
FiQA,0.74,0.3423078336272781,0.28075484245890325,0.23074655105791453
