name,Recall@k
BM25 -> TAS-B rerank (k=50),0.9096728307254623
BM25 -> TAS-B rerank (k=75),0.9288762446657184
BM25 -> TAS-B rerank (k=100),0.9416785206258891
BM25 -> TAS-B rerank (k=125),0.9502133712660028
BM25 -> TAS-B rerank (k=150),0.9530583214793741
BM25 -> TAS-B rerank (k=175),0.9615931721194879
BM25 -> TAS-B rerank (k=200),0.965149359886202
BM25 -> TAS-B rerank (k=225),0.9658605974395448
BM25 -> TAS-B rerank (k=250),0.9665718349928877
BM25 -> TAS-B rerank (k=275),0.9679943100995733
BM25 -> TAS-B rerank (k=300),0.972972972972973
BM25 -> TAS-B rerank (k=325),0.9736842105263158
BM25 -> TAS-B rerank (k=350),0.9743954480796586
BM25 -> TAS-B rerank (k=375),0.9751066856330014
BM25 -> TAS-B rerank (k=400),0.9772403982930299
BM25 -> TAS-B rerank (k=425),0.9779516358463727
BM25 -> TAS-B rerank (k=450),0.9800853485064012
BM25 -> TAS-B rerank (k=475),0.980796586059744
BM25 -> TAS-B rerank (k=500),0.9815078236130867
BM25 -> TAS-B rerank (k=525),0.9815078236130867
