name,RR@10,nDCG@10,AP@100,R@100
BM25,0.22561668811668747,0.34244214080697244,0.23698833560496801,0.9416785206258891
BM25 -> TAS-B rerank (k=50),0.21033157217367712,0.321967172592054,0.22371238790777556,0.9096728307254623
BM25 -> TAS-B rerank (k=75),0.208384418252839,0.3189357950686393,0.22216206074150843,0.9288762446657184
BM25 -> TAS-B rerank (k=100),0.20712733410101805,0.3170856045505343,0.22106666537753034,0.9416785206258891
BM25 -> TAS-B rerank (k=125),0.20673530673530652,0.31672052974131965,0.22053177080822758,0.9459459459459459
BM25 -> TAS-B rerank (k=150),0.20553551671972706,0.3148238678931898,0.2194641539026708,0.9459459459459459
BM25 -> TAS-B rerank (k=175),0.20557390096863762,0.3144101329523013,0.2197379109662042,0.9509246088193457
BM25 -> TAS-B rerank (k=200),0.2052422723475354,0.3136791719621347,0.21944620906434517,0.9487908961593172
BM25 -> TAS-B rerank (k=225),0.2048183521867731,0.3125840947664873,0.2191261696125512,0.9466571834992887
BM25 -> TAS-B rerank (k=250),0.2044497505023819,0.31212034814524753,0.218647448649238,0.9452347083926032
BM25 -> TAS-B rerank (k=275),0.20442124455282326,0.3120906192723885,0.21845369039213497,0.9431009957325747
BM25 -> TAS-B rerank (k=300),0.20421775158617242,0.31176110674306895,0.2182650847867329,0.9431009957325747
BM25 -> TAS-B rerank (k=325),0.20413872519135653,0.31134140914564234,0.2181991102211211,0.9423897581792319
BM25 -> TAS-B rerank (k=350),0.20412884689200458,0.31133114251611055,0.2181020008200622,0.9416785206258891
BM25 -> TAS-B rerank (k=375),0.2038333446228181,0.3109319921999572,0.21779054563661426,0.9395448079658606
BM25 -> TAS-B rerank (k=400),0.20370182212287458,0.31067045052123926,0.21767286077588782,0.938122332859175
BM25 -> TAS-B rerank (k=425),0.20365835760572587,0.31063077134614325,0.21755977810156898,0.9366998577524893
BM25 -> TAS-B rerank (k=450),0.20354376933324286,0.31038549841121943,0.2174401947059623,0.9352773826458037
BM25 -> TAS-B rerank (k=475),0.20343510804037102,0.31014241711250945,0.21733727061213604,0.9345661450924608
BM25 -> TAS-B rerank (k=500),0.20347264557790853,0.31017990465139167,0.2173957548988105,0.9345661450924608
BM25 -> TAS-B rerank (k=525),0.20344583305109604,0.3101533692780656,0.21734200653298721,0.933854907539118
BM25 -> TAS-B rerank (k=550),0.20337470929576176,0.3099477755182378,0.2173040520746749,0.933854907539118
