name,Recall@k
BM25 -> TAS-B rerank (k=50),0.48548246592228067
BM25 -> TAS-B rerank (k=75),0.5246597495440088
BM25 -> TAS-B rerank (k=100),0.5591828524698895
BM25 -> TAS-B rerank (k=125),0.5807810545079065
BM25 -> TAS-B rerank (k=150),0.5955970940924642
BM25 -> TAS-B rerank (k=175),0.6103475142826993
BM25 -> TAS-B rerank (k=200),0.6269142680022308
BM25 -> TAS-B rerank (k=225),0.6371784508358582
BM25 -> TAS-B rerank (k=250),0.6454669858605045
BM25 -> TAS-B rerank (k=275),0.6558983497640907
BM25 -> TAS-B rerank (k=300),0.6689531704578003
BM25 -> TAS-B rerank (k=325),0.6787083672500343
BM25 -> TAS-B rerank (k=350),0.6829423020395247
BM25 -> TAS-B rerank (k=375),0.690621608329942
BM25 -> TAS-B rerank (k=400),0.6966315534602574
BM25 -> TAS-B rerank (k=425),0.7016469855590228
BM25 -> TAS-B rerank (k=450),0.7053139461704279
BM25 -> TAS-B rerank (k=475),0.7103936786807158
BM25 -> TAS-B rerank (k=500),0.7114267719591794
BM25 -> TAS-B rerank (k=525),0.7158506402719366
BM25 -> TAS-B rerank (k=550),0.7178568131114428
BM25 -> TAS-B rerank (k=575),0.7235152493254345
BM25 -> TAS-B rerank (k=600),0.7266531094077391
BM25 -> TAS-B rerank (k=625),0.7271932328645292
BM25 -> TAS-B rerank (k=650),0.7297138089962164
BM25 -> TAS-B rerank (k=675),0.7331125450338414
BM25 -> TAS-B rerank (k=700),0.736301845445364
BM25 -> TAS-B rerank (k=725),0.7388156853434632
BM25 -> TAS-B rerank (k=750),0.7417992244381134
BM25 -> TAS-B rerank (k=775),0.7430356294939631
BM25 -> TAS-B rerank (k=800),0.7454423020395246
