name,RR@10,nDCG@10,AP@100,R@100
BM25,0.31027091906721516,0.2525888386645462,0.2086397650398657,0.5591828524698897
BM25 -> TAS-B rerank (k=50),0.3713440623162844,0.30676944342944984,0.25042783124866214,0.48548246592228067
BM25 -> TAS-B rerank (k=75),0.3706588036449146,0.30658904374344387,0.25118736998452657,0.5246597495440088
BM25 -> TAS-B rerank (k=100),0.3694609788359788,0.3054730827028217,0.2523481411140876,0.5591828524698895
BM25 -> TAS-B rerank (k=125),0.37035812267293744,0.305705980631026,0.2531334619724226,0.5696828034790999
BM25 -> TAS-B rerank (k=150),0.3699080197922789,0.30664982823871956,0.2542013702461663,0.5723056478843517
BM25 -> TAS-B rerank (k=175),0.3721432245737801,0.3080457338809953,0.25526264700540235,0.5793363443826406
BM25 -> TAS-B rerank (k=200),0.37249840779933363,0.30968540579151027,0.2564054255446999,0.5887430941829089
BM25 -> TAS-B rerank (k=225),0.37115912208504787,0.3086571378920075,0.25566038566521004,0.5931082677610454
BM25 -> TAS-B rerank (k=250),0.3737562463256906,0.3100416589370426,0.2564288951537205,0.5986142201419979
BM25 -> TAS-B rerank (k=275),0.37287869880462465,0.3093428521575094,0.25548195010058955,0.6020007084821901
BM25 -> TAS-B rerank (k=300),0.3727329512051733,0.30901518979434045,0.25533527286724894,0.6052414492229308
BM25 -> TAS-B rerank (k=325),0.37314018714481667,0.3097741508337375,0.2556831365802087,0.6066890328464403
BM25 -> TAS-B rerank (k=350),0.3744794728591023,0.3102050846349243,0.25580895074147236,0.606508991694177
BM25 -> TAS-B rerank (k=375),0.37581508426415816,0.3109703583727998,0.25611001990099086,0.6112672221468521
BM25 -> TAS-B rerank (k=400),0.3757232265334116,0.3110478498567116,0.2558767789342717,0.6061017557545338
BM25 -> TAS-B rerank (k=425),0.37550889182833613,0.3111353970735434,0.25636825450554523,0.6038512413512415
BM25 -> TAS-B rerank (k=450),0.37499020184205356,0.31041082743277365,0.2559785630009601,0.6032596775652332
BM25 -> TAS-B rerank (k=475),0.37536314422888484,0.31080880152554813,0.25632962869649106,0.6032082372360151
BM25 -> TAS-B rerank (k=500),0.37421247305506555,0.3097047708516707,0.25594845754101136,0.6028653017078944
BM25 -> TAS-B rerank (k=525),0.3761935381148343,0.31135905008947173,0.25704767868897754,0.6034311453292934
BM25 -> TAS-B rerank (k=550),0.3753080295904369,0.3107361975611282,0.2561467144634893,0.6028616273986644
BM25 -> TAS-B rerank (k=575),0.3757838526357044,0.311490727441105,0.2563578060847855,0.6029645080571007
BM25 -> TAS-B rerank (k=600),0.3758101851851851,0.31105695417850954,0.25618555223208367,0.6028359072340553
BM25 -> TAS-B rerank (k=625),0.37474463550852427,0.3105535099307562,0.25547134639099883,0.5998352213629992
BM25 -> TAS-B rerank (k=650),0.3744317068391142,0.31027682622043845,0.2552641646212064,0.5994837124466755
BM25 -> TAS-B rerank (k=675),0.37417021849892207,0.30975566197981763,0.2550873182547689,0.5995351527758938
BM25 -> TAS-B rerank (k=700),0.3739601704879481,0.30960727880845856,0.2551544542895103,0.6002406201480277
BM25 -> TAS-B rerank (k=725),0.37380584950029383,0.3092950087500886,0.2551441186304745,0.5988321349432463
BM25 -> TAS-B rerank (k=750),0.37342249657064464,0.3086531619453312,0.2549488758178602,0.6002210238321352
BM25 -> TAS-B rerank (k=775),0.37320999902018415,0.3081598888612649,0.25480783858787454,0.6002210238321352
BM25 -> TAS-B rerank (k=800),0.37319285224377813,0.3081485672409014,0.25476203591973434,0.5992693777416
