name,Recall@k
BM25 -> TAS-B rerank (k=50),0.21299074118653769
BM25 -> TAS-B rerank (k=75),0.22974458145460422
BM25 -> TAS-B rerank (k=100),0.24380677163610404
BM25 -> TAS-B rerank (k=125),0.2544921523233367
BM25 -> TAS-B rerank (k=150),0.2633343720595434
BM25 -> TAS-B rerank (k=175),0.2701035669678911
BM25 -> TAS-B rerank (k=200),0.2766660819976765
BM25 -> TAS-B rerank (k=225),0.28514540660260246
BM25 -> TAS-B rerank (k=250),0.2897266398339932
BM25 -> TAS-B rerank (k=275),0.29353180498208403
BM25 -> TAS-B rerank (k=300),0.29748378200566133
BM25 -> TAS-B rerank (k=325),0.30079573947559285
BM25 -> TAS-B rerank (k=350),0.30471700672872865
BM25 -> TAS-B rerank (k=375),0.30770064695691074
BM25 -> TAS-B rerank (k=400),0.3108634568262491
BM25 -> TAS-B rerank (k=425),0.31406203182675624
BM25 -> TAS-B rerank (k=450),0.3175170014078177
BM25 -> TAS-B rerank (k=475),0.3204355971045187
BM25 -> TAS-B rerank (k=500),0.3227348858893939
BM25 -> TAS-B rerank (k=525),0.3262951408379188
BM25 -> TAS-B rerank (k=550),0.33167220095954814
BM25 -> TAS-B rerank (k=575),0.33409409345452473
BM25 -> TAS-B rerank (k=600),0.3371910846628251
BM25 -> TAS-B rerank (k=625),0.33866133657946385
BM25 -> TAS-B rerank (k=650),0.3406333655438114
BM25 -> TAS-B rerank (k=675),0.3421762661398244
BM25 -> TAS-B rerank (k=700),0.3433770039667793
BM25 -> TAS-B rerank (k=725),0.3453789355456506
BM25 -> TAS-B rerank (k=750),0.34668711972087046
BM25 -> TAS-B rerank (k=775),0.34796362039074463
BM25 -> TAS-B rerank (k=800),0.34927237359810787
