name,RR@10,nDCG@10,AP@100,R@100
BM25,0.5343776106934003,0.32221949931359506,0.14358201517739988,0.2438168235037409
BM25 -> TAS-B rerank (k=50),0.5477271610398545,0.3261753104984743,0.1429354850897708,0.21299074118653769
BM25 -> TAS-B rerank (k=75),0.5446741854636592,0.3260559029837424,0.14553974270187994,0.22974458145460422
BM25 -> TAS-B rerank (k=100),0.5426925156027322,0.32687518414813965,0.14706711868400163,0.24380677163610404
BM25 -> TAS-B rerank (k=125),0.543156911887562,0.32676667117716846,0.14739285023832674,0.24855875302250202
BM25 -> TAS-B rerank (k=150),0.5409983291562238,0.32639171999936134,0.14711578585132049,0.24690325469353389
BM25 -> TAS-B rerank (k=175),0.5401985355545726,0.32651599661449743,0.14708120603384278,0.2475654517651963
BM25 -> TAS-B rerank (k=200),0.5426618015627304,0.3274159121092121,0.14748239806505292,0.2476503753009207
BM25 -> TAS-B rerank (k=225),0.5409713008010221,0.32677077985819897,0.14709154142171232,0.24774425839086064
BM25 -> TAS-B rerank (k=250),0.5415388962602584,0.3263994471540428,0.14710562639800462,0.2482470752510914
BM25 -> TAS-B rerank (k=275),0.5415388962602584,0.3261897194783594,0.14697184739735364,0.24809052179664098
BM25 -> TAS-B rerank (k=300),0.541483610988255,0.3264285334195574,0.14685552550302156,0.24700081892098869
BM25 -> TAS-B rerank (k=325),0.5411826133962356,0.32626771135543126,0.1468934330101299,0.24766187251862615
BM25 -> TAS-B rerank (k=350),0.5380866381640375,0.32624721173073457,0.14681734205746677,0.24837518380800222
BM25 -> TAS-B rerank (k=375),0.538031352892034,0.3265164855939341,0.1469561409911211,0.2489102239899529
BM25 -> TAS-B rerank (k=400),0.537515357020001,0.32661086808762946,0.1472302717765223,0.2494142344270858
BM25 -> TAS-B rerank (k=425),0.537859354268023,0.32669138692230737,0.14716301837310108,0.2496809067359379
BM25 -> TAS-B rerank (k=450),0.537859354268023,0.32638105863267913,0.14708141412762774,0.2495808004927027
BM25 -> TAS-B rerank (k=475),0.5378249545432208,0.3265015313349892,0.1471110664671592,0.25000083860523137
BM25 -> TAS-B rerank (k=500),0.5373089586711878,0.32635378445293195,0.14702258136622257,0.24990894261458843
BM25 -> TAS-B rerank (k=525),0.537235244975183,0.326111705970167,0.14691227704870513,0.24967516043711777
BM25 -> TAS-B rerank (k=550),0.537235244975183,0.326111705970167,0.1469582132162217,0.2530678250129917
BM25 -> TAS-B rerank (k=575),0.5371799597031796,0.3261017267680813,0.1468710246542253,0.252719634331028
BM25 -> TAS-B rerank (k=600),0.5371799597031796,0.3259665890784614,0.14679472189397505,0.2529265813101322
BM25 -> TAS-B rerank (k=625),0.5371799597031796,0.32592800636367414,0.146735570614854,0.2530894021857218
BM25 -> TAS-B rerank (k=650),0.5366639638311466,0.3258623563530907,0.14670991132400554,0.25305872591197953
BM25 -> TAS-B rerank (k=675),0.5366295641063443,0.32585567402758725,0.14666976683238658,0.25290529490161157
BM25 -> TAS-B rerank (k=700),0.5366295641063443,0.3258513143990185,0.1465844642197386,0.25216977832426035
BM25 -> TAS-B rerank (k=725),0.5366295641063443,0.3264115906768408,0.14671080900349834,0.2523904983377123
BM25 -> TAS-B rerank (k=750),0.5366295641063443,0.3264115906768408,0.14672320393072824,0.25246339962249703
BM25 -> TAS-B rerank (k=775),0.5366295641063443,0.3264115906768408,0.1466597036557442,0.25216881374463646
BM25 -> TAS-B rerank (k=800),0.5366295641063443,0.3263691575599213,0.1465968081047614,0.25209366871472877
